account_id,company_name,industry,region,country,segment,employees,contract_start_date,tenure_months,contract_type,arr_usd,licensed_seats,active_seats,seat_utilization,modules_adopted,modules_list,uses_enlighten_ai,digital_channels_enabled,digital_channel_share_pct,monthly_interactions,usage_trend_pct,avg_login_freq_per_week,onboarding_completed,time_to_value_days,csm_assigned,qbrs_last_12m,support_tickets_90d,critical_incidents_12m,avg_csat,nps_last,discount_pct,price_increase_at_renewal_pct,days_payment_overdue,expansion_arr_usd,health_score,churn_risk_score,status,churned,churn_date,churn_reason
CX-100013,Granite Group,Healthcare,North America,United States,SMB,191,2024-08-23,22,Annual,14100,14,14,1.0,3,Enlighten AI (Copilot / Autopilot); Interaction Analytics; Performance Management,Yes,No,0.9,8364,1.5,3.8,No,160,Sofia Marin,3,13,0,3.35,7,20.6,3.2,0,0,61,48,Active,0,,
CX-100014,Catalyst Retail Co,Financial Services,APAC,Japan,Enterprise,80253,2020-10-24,68,Multi-Year,3582800,3267,2351,0.72,5,ACD (Omnichannel Routing); Feedback Management; Performance Management; Quality Management; Workforce Management (WFM),No,No,3.8,1445535,-2.7,2.8,No,93,Priya Nair,3,11,0,4.23,1,10.8,8.9,0,0,56,38,Active,0,,
CX-100015,Atlas Retail Co,Financial Services,EMEA,UAE,SMB,189,2023-10-24,32,Multi-Year,41600,36,26,0.722,3,ACD (Omnichannel Routing); Interaction Analytics; Workforce Management (WFM),No,No,8.0,11132,-0.9,2.6,No,137,Priya Nair,3,11,4,3.44,10,22.5,3.6,0,2100,48,61,Active,0,,
CX-100016,Maple Insurance,Financial Services,EMEA,UAE,Enterprise,5229,2025-02-21,16,Annual,3210400,3726,3726,1.0,5,ACD (Omnichannel Routing); Enlighten AI (Copilot / Autopilot); Performance Management; Quality Management; Workforce Management (WFM),Yes,No,6.0,747341,-30.3,5.5,Yes,40,Sofia Marin,1,12,2,3.92,3,29.7,3.5,7,321000,60,36,Active,0,,
CX-100017,Keystone Logistics,Financial Services,North America,Canada,SMB,297,2024-02-22,28,Annual,70200,58,34,0.586,5,ACD (Omnichannel Routing); Digital Channels (Chat/Email/Social); Enlighten AI (Copilot / Autopilot); Interaction Analytics; Recording & Compliance,Yes,Yes,48.1,16725,12.7,2.0,Yes,51,Dana Levi,1,15,0,3.33,7,10.7,5.3,0,14000,69,30,Active,0,,
CX-100018,Tidewater Stores,Retail,North America,United States,Mid-Market,2146,2024-06-23,24,Monthly,151300,175,166,0.949,3,Feedback Management; IVR / Voice; Recording & Compliance,No,No,1.4,93774,15.7,5.7,Yes,57,Kenji Watanabe,3,18,1,4.3,10,31.3,7.1,0,-15100,62,40,Churned,1,2024-12-31,Seasonal seat downsizing
CX-100019,Meridian Bank,Telecom,North America,United States,Mid-Market,847,2022-11-23,43,Annual,57000,54,29,0.537,4,Digital Channels (Chat/Email/Social); Interaction Analytics; Quality Management; Recording & Compliance,No,Yes,28.1,6588,-5.4,4.9,Yes,36,Tom Fischer,0,6,1,4.32,3,19.7,0,0,11400,77,21,Active,0,,
CX-100020,Ironwood Group,Retail,LATAM,Brazil,Mid-Market,1120,2023-08-24,34,Multi-Year,69200,57,38,0.667,2,Digital Channels (Chat/Email/Social); Interaction Analytics,No,Yes,55.5,14950,1.4,4.1,Yes,25,Marcus Reed,1,13,0,4.42,8,33.6,0,9,6900,84,19,Churned,1,2026-02-26,Price / budget cuts
CX-100021,Aurora Networks,Retail,EMEA,United Kingdom,SMB,224,2023-02-22,40,Annual,47600,51,27,0.529,3,Performance Management; Quality Management; Recording & Compliance,No,No,5.9,5691,2.6,3.4,Yes,64,Kenji Watanabe,1,10,1,3.11,0,29.1,2.7,0,-4800,62,42,Churned,1,2025-05-27,Poor support experience
CX-100022,Vantage Retail Co,Retail,North America,United States,SMB,75,2025-06-23,12,Multi-Year,39900,36,35,0.972,1,Recording & Compliance,No,No,3.2,15974,-9.2,3.3,Yes,44,Sofia Marin,3,18,4,3.46,0,19.9,7.1,35,0,46,60,Active,0,,
CX-100023,Crimson Services,Financial Services,EMEA,UAE,SMB,190,2025-12-22,6,Annual,26100,18,11,0.611,2,ACD (Omnichannel Routing); Digital Channels (Chat/Email/Social),No,Yes,41.2,6304,-1.9,0.9,No,194,Unassigned,0,16,3,3.74,7,1.4,23.5,0,0,20,80,Churned,1,2026-03-15,Price / budget cuts
CX-100024,Cascade Resorts,Financial Services,APAC,Singapore,Mid-Market,493,2023-10-24,32,Annual,330700,271,226,0.834,3,IVR / Voice; Interaction Analytics; Performance Management,No,No,3.7,73717,-11.6,5.0,No,195,Priya Nair,2,24,1,3.97,7,21.8,0,12,33100,38,57,Churned,1,2026-06-08,Poor support experience
CX-100025,Catalyst Health Systems,Financial Services,EMEA,Germany,SMB,212,2026-03-23,3,Annual,68500,58,43,0.741,1,ACD (Omnichannel Routing),No,No,2.6,10065,-7.8,5.7,Yes,63,Priya Nair,0,13,1,4.18,8,0.7,2.0,20,0,88,26,Churned,1,2026-05-04,Switched to competitor
CX-100026,Vertex Communications,Insurance,EMEA,France,Mid-Market,719,2024-02-22,28,Multi-Year,408900,327,187,0.572,3,Digital Channels (Chat/Email/Social); Enlighten AI (Copilot / Autopilot); Feedback Management,Yes,Yes,35.1,54373,10.0,1.5,No,195,Unassigned,0,11,1,4.49,10,31.1,6.7,0,0,44,55,Active,0,,
CX-100027,Sterling Telecom,Hospitality,APAC,Japan,Mid-Market,857,2026-04-23,2,Monthly,50400,50,44,0.88,4,ACD (Omnichannel Routing); Digital Channels (Chat/Email/Social); Feedback Management; Quality Management,No,Yes,49.2,21388,31.6,6.3,Yes,21,Marcus Reed,3,15,0,4.08,8,14.9,4.0,12,5000,70,36,Active,0,,
CX-100028,Keystone Mutual,Financial Services,North America,Canada,SMB,155,2023-05-25,37,Annual,34400,36,21,0.583,6,ACD (Omnichannel Routing); Digital Channels (Chat/Email/Social); Feedback Management; IVR / Voice; Recording & Compliance; Workforce Management (WFM),No,Yes,35.0,4430,12.8,6.4,No,108,Priya Nair,2,22,1,3.83,8,29.3,0,8,6900,33,70,Active,0,,
CX-100029,Summit Communications,Hospitality,North America,Canada,SMB,211,2026-10-20,6,Monthly,45500,40,37,0.925,5,ACD (Omnichannel Routing); IVR / Voice; Performance Management; Recording & Compliance; Workforce Management (WFM),No,No,2.5,23161,-0.2,2.3,Yes,37,Kenji Watanabe,3,12,1,4.01,2,27.0,12.8,0,4600,59,37,Active,0,,
CX-100030,Cobalt Solutions,Healthcare,EMEA,South Africa,SMB,37,2021-07-25,59,Annual,46200,33,26,0.788,5,ACD (Omnichannel Routing); Digital Channels (Chat/Email/Social); IVR / Voice; Interaction Analytics; Recording & Compliance,No,Yes,32.1,8407,-18.6,2.7,Yes,51,Noa Cohen,3,19,0,4.48,9,7.3,0,0,-4600,66,33,Active,0,,
CX-100031,Quantum Mutual,Hospitality,LATAM,Mexico,SMB,245,2025-02-21,16,Annual,62100,56,38,0.679,1,Quality Management,No,No,2.1,17606,21.3,4.3,Yes,24,Kenji Watanabe,3,3,0,3.49,9,14.8,0,28,3100,81,23,Active,0,,
CX-100032,Catalyst Retail Co,Insurance,APAC,India,SMB,55,2022-08-24,46,Annual,14700,11,9,0.818,3,ACD (Omnichannel Routing); Quality Management; Workforce Management (WFM),No,No,5.3,3366,7.7,2.9,No,161,Aisha Khan,4,23,0,3.96,0,7.7,27.4,0,0,45,55,Active,0,,
CX-100033,Brightline Insurance,Technology / SaaS,APAC,Australia,Mid-Market,1299,2025-08-22,10,Annual,97200,96,79,0.823,5,ACD (Omnichannel Routing); Enlighten AI (Copilot / Autopilot); IVR / Voice; Interaction Analytics; Performance Management,Yes,No,5.3,16762,16.3,3.4,No,116,Unassigned,0,2,0,3.58,2,31.6,6.1,0,0,53,43,Active,0,,
CX-100034,Aurora Telecom,Financial Services,EMEA,United Kingdom,Enterprise,12218,2025-11-22,7,Annual,3010600,3805,1993,0.524,4,Enlighten AI (Copilot / Autopilot); Feedback Management; Performance Management; Quality Management,Yes,No,4.4,722508,11.6,5.7,Yes,43,Noa Cohen,0,0,0,2.61,3,5.5,10.4,0,-301100,59,42,Active,0,,
CX-100035,Atlas Industries,Utilities,EMEA,Germany,Mid-Market,872,2022-01-23,53,Multi-Year,188300,211,185,0.877,1,Digital Channels (Chat/Email/Social),No,Yes,34.9,56174,-5.5,2.4,Yes,63,Unassigned,0,18,1,4.75,1,25.4,25.8,21,0,61,34,Active,0,,
CX-100036,Northwind Energy,Retail,EMEA,Israel,SMB,279,2026-03-23,3,Monthly,60000,44,29,0.659,1,Recording & Compliance,No,No,8.0,12999,-21.5,6.3,Yes,60,Kenji Watanabe,4,0,1,4.14,0,19.0,19.9,0,6000,62,34,Active,0,,
CX-100037,Lumen Digital,Healthcare,North America,Canada,Mid-Market,579,2023-06-24,36,Annual,480000,394,337,0.855,1,Performance Management,No,No,0.5,127495,24.4,2.2,No,168,Diego Alvarez,3,14,0,4.31,0,6.2,2.7,0,96000,80,21,Active,0,,
CX-100038,Sequoia Industries,Insurance,North America,United States,Mid-Market,680,2024-09-22,21,Monthly,107500,119,109,0.916,5,Enlighten AI (Copilot / Autopilot); Feedback Management; Interaction Analytics; Performance Management; Workforce Management (WFM),Yes,No,5.7,63683,0.7,6.0,Yes,67,Unassigned,0,21,1,4.51,8,6.0,3.6,0,0,65,34,Active,0,,
CX-100039,Pioneer Digital,Healthcare,EMEA,South Africa,Mid-Market,565,2022-06-24,48,Annual,344800,266,101,0.38,3,ACD (Omnichannel Routing); Enlighten AI (Copilot / Autopilot); Quality Management,Yes,No,1.9,55147,1.1,4.7,No,175,Unassigned,0,13,0,4.33,5,33.3,12.3,7,0,48,57,Active,0,,
CX-100040,Brightline Partners,Technology / SaaS,EMEA,Germany,Mid-Market,2786,2022-03-25,51,Annual,272400,297,219,0.737,6,Enlighten AI (Copilot / Autopilot); Feedback Management; IVR / Voice; Interaction Analytics; Recording & Compliance; Workforce Management (WFM),Yes,No,1.1,87970,15.1,1.3,Yes,18,Sofia Marin,3,6,0,3.75,2,27.0,0,0,0,89,16,Active,0,,
CX-100041,Atlas Industries,Technology / SaaS,APAC,India,Enterprise,62790,2022-07-25,47,Multi-Year,2094700,2780,1848,0.665,6,ACD (Omnichannel Routing); IVR / Voice; Interaction Analytics; Performance Management; Recording & Compliance; Workforce Management (WFM),No,No,6.1,533302,13.9,3.2,No,117,Kenji Watanabe,2,6,3,4.22,6,25.4,18.5,0,0,30,69,Active,0,,
CX-100042,Quantum Retail Co,Technology / SaaS,APAC,Singapore,SMB,262,2025-01-22,17,Annual,30000,28,18,0.643,5,ACD (Omnichannel Routing); Digital Channels (Chat/Email/Social); Feedback Management; Interaction Analytics; Workforce Management (WFM),No,Yes,47.2,9716,10.2,3.5,Yes,40,Kenji Watanabe,4,17,1,3.22,6,7.7,0,0,-3000,53,38,Active,0,,
CX-100043,Vantage Hospitality,Technology / SaaS,APAC,Japan,Mid-Market,528,2024-11-22,19,Monthly,355400,319,311,0.975,5,ACD (Omnichannel Routing); Enlighten AI (Copilot / Autopilot); Interaction Analytics; Performance Management; Quality Management,Yes,No,7.2,147623,18.5,1.9,No,112,Diego Alvarez,1,22,0,3.01,0,10.7,13.3,0,0,48,60,Active,0,,
CX-100044,Apex Holdings,Financial Services,North America,Canada,Mid-Market,2600,2026-03-23,3,Annual,147900,130,122,0.938,3,ACD (Omnichannel Routing); Interaction Analytics; Recording & Compliance,No,No,5.2,62492,22.5,4.1,Yes,36,Kenji Watanabe,1,19,1,3.46,8,4.4,0,0,0,71,35,Active,0,,
CX-100045,Horizon Insurance,Healthcare,North America,Canada,Enterprise,61412,2024-10-22,20,Annual,3092000,3546,2580,0.728,7,Enlighten AI (Copilot / Autopilot); Feedback Management; IVR / Voice; Interaction Analytics; Performance Management; Quality Management; Workforce Management (WFM),Yes,No,5.8,697423,24.5,6.0,Yes,69,Marcus Reed,2,5,0,3.85,4,30.9,7.5,0,0,84,18,Active,0,,
CX-100046,Brightline Communications,Hospitality,APAC,Singapore,SMB,240,2023-10-24,32,Annual,64600,47,33,0.702,4,ACD (Omnichannel Routing); Interaction Analytics; Performance Management; Quality Management,No,No,7.0,16942,8.1,2.2,Yes,45,Noa Cohen,2,4,0,4.63,10,6.0,3.8,0,0,76,20,Active,0,,
CX-100047,Sequoia Bank,Technology / SaaS,EMEA,United Kingdom,SMB,203,2020-04-25,74,Multi-Year,69400,58,48,0.828,4,IVR / Voice; Interaction Analytics; Quality Management; Recording & Compliance,No,No,6.8,30460,-4.1,6.3,Yes,29,Unassigned,0,10,0,3.65,7,9.9,5.7,0,3500,66,33,Active,0,,
CX-100048,Harbor Labs,Technology / SaaS,LATAM,Argentina,Mid-Market,2979,2024-05-23,25,Annual,347800,304,201,0.661,4,Enlighten AI (Copilot / Autopilot); Feedback Management; Performance Management; Workforce Management (WFM),Yes,No,0.1,103015,-7.4,1.4,No,124,Dana Levi,3,22,0,3.72,6,18.6,5.3,0,0,27,63,Active,0,,
CX-100049,Lumen Industries,Retail,North America,Canada,Mid-Market,1178,2024-05-23,25,Monthly,159000,172,110,0.64,4,Digital Channels (Chat/Email/Social); Interaction Analytics; Performance Management; Recording & Compliance,No,Yes,39.7,35407,-3.2,3.8,Yes,20,Tom Fischer,3,9,1,3.63,9,18.7,7.0,0,8000,50,52,Active,0,,
CX-100050,Cascade Telecom,Retail,EMEA,United Kingdom,SMB,243,2025-05-23,13,Multi-Year,69000,55,53,0.964,1,Interaction Analytics,No,No,3.8,33677,29.9,1.4,Yes,32,Tom Fischer,2,7,0,4.19,1,33.3,0,0,0,83,18,Active,0,,
CX-100051,Onyx Financial,Insurance,EMEA,United Kingdom,Enterprise,23528,2020-12-24,66,Multi-Year,2318000,2616,1983,0.758,3,ACD (Omnichannel Routing); Enlighten AI (Copilot / Autopilot); Workforce Management (WFM),Yes,No,0.1,827981,5.4,1.7,Yes,44,Liam O'Brien,4,13,1,2.92,7,13.8,9.0,0,-231800,64,38,Active,0,,
CX-100052,Cobalt Resorts,Public Sector,North America,United States,SMB,81,2023-03-25,39,Annual,13100,10,9,0.9,2,IVR / Voice; Workforce Management (WFM),No,No,7.8,3955,-20.3,1.3,Yes,26,Tom Fischer,4,17,0,4.18,7,18.4,0,0,1300,74,24,Active,0,,
CX-100053,Catalyst Financial,Financial Services,LATAM,Argentina,Mid-Market,2470,2024-08-23,22,Monthly,184500,215,156,0.726,4,Digital Channels (Chat/Email/Social); IVR / Voice; Performance Management; Recording & Compliance,No,Yes,3.2,80262,5.2,2.7,Yes,58,Priya Nair,1,6,0,4.82,4,21.8,3.2,38,36900,75,34,Active,0,,
CX-100054,Meridian Networks,Financial Services,North America,United States,Mid-Market,2520,2022-05-25,49,Annual,87700,89,43,0.483,4,Feedback Management; IVR / Voice; Recording & Compliance; Workforce Management (WFM),No,No,5.4,15438,26.5,5.9,Yes,38,Marcus Reed,4,0,0,5.0,8,4.7,2.1,6,0,78,14,Active,0,,
CX-100055,Harbor Logistics,Technology / SaaS,North America,United States,SMB,169,2025-01-22,17,Multi-Year,64300,45,31,0.689,3,Performance Management; Quality Management; Workforce Management (WFM),No,No,0.0,11265,13.8,2.4,Yes,64,Noa Cohen,4,6,0,3.43,7,6.3,12.3,0,3200,69,32,Active,0,,
CX-100056,Maple Brands,Hospitality,North America,Canada,Mid-Market,418,2021-07-25,59,Multi-Year,66300,57,26,0.456,2,Performance Management; Recording & Compliance,No,No,0.6,16576,-25.3,6.2,Yes,69,Priya Nair,1,10,1,3.4,1,31.1,26.3,93,3300,44,61,Churned,1,2026-05-03,Price / budget cuts
CX-100057,Tidewater Telecom,Hospitality,EMEA,France,Mid-Market,2290,2025-01-22,17,Annual,95800,96,59,0.615,2,Feedback Management; Performance Management,No,No,3.6,29010,2.1,5.9,Yes,63,Priya Nair,4,12,2,4.1,4,22.0,5.2,0,0,65,35,Active,0,,
CX-100058,Onyx Solutions,Retail,EMEA,United Kingdom,SMB,68,2023-01-23,41,Annual,23400,20,15,0.75,2,Digital Channels (Chat/Email/Social); Quality Management,No,Yes,28.1,6379,-0.9,3.1,No,177,Diego Alvarez,2,0,1,3.39,2,20.0,14.7,35,-2300,56,41,Active,0,,
CX-100059,Aurora Holdings,Retail,North America,United States,SMB,289,2022-01-23,53,Multi-Year,35300,34,20,0.588,3,Feedback Management; IVR / Voice; Quality Management,No,No,6.8,10548,-1.1,5.4,Yes,49,Liam O'Brien,1,17,0,4.59,1,15.8,0,0,0,79,30,Active,0,,
CX-100060,Lumen Solutions,Healthcare,EMEA,South Africa,Enterprise,72477,2025-12-22,6,Annual,2034700,2064,1694,0.821,7,ACD (Omnichannel Routing); Digital Channels (Chat/Email/Social); Enlighten AI (Copilot / Autopilot); Feedback Management; Interaction Analytics; Quality Management; Recording & Compliance,Yes,Yes,33.2,587460,21.5,5.5,Yes,35,Marcus Reed,2,14,1,3.84,6,17.7,0,0,203500,77,22,Active,0,,
CX-100061,Delta Labs,Retail,EMEA,United Kingdom,Mid-Market,1276,2019-10-25,80,Multi-Year,199400,173,173,1.0,3,ACD (Omnichannel Routing); Performance Management; Quality Management,No,No,3.9,99471,-18.5,4.0,Yes,48,Dana Levi,0,10,0,5.0,6,32.7,23.2,0,10000,91,9,Active,0,,
CX-100062,Catalyst Stores,Travel,North America,United States,Enterprise,21441,2024-03-24,27,Monthly,3353800,3622,1648,0.455,4,Digital Channels (Chat/Email/Social); Interaction Analytics; Quality Management; Workforce Management (WFM),No,Yes,21.4,600741,-6.2,3.5,Yes,69,Marcus Reed,1,9,0,3.38,10,20.6,0,35,167700,49,47,Active,0,,
CX-100063,Solstice Communications,Insurance,North America,United States,Enterprise,22151,2020-03-25,75,Multi-Year,3673300,3435,3435,1.0,5,Enlighten AI (Copilot / Autopilot); IVR / Voice; Interaction Analytics; Performance Management; Workforce Management (WFM),Yes,No,6.0,1666191,-0.0,1.7,Yes,48,Tom Fischer,2,6,0,3.85,6,34.2,0,0,-367300,82,14,Active,0,,
CX-100064,Sequoia Retail Co,Healthcare,APAC,Philippines,Mid-Market,2535,2025-11-22,7,Multi-Year,295700,245,149,0.608,2,IVR / Voice; Workforce Management (WFM),No,No,5.8,49340,8.3,2.7,No,125,Dana Levi,3,13,3,2.78,4,18.8,25.7,0,0,17,81,Churned,1,2025-12-30,Price / budget cuts
CX-100065,Nimbus Brands,Technology / SaaS,North America,Canada,SMB,87,2021-07-25,59,Multi-Year,14500,12,10,0.833,5,ACD (Omnichannel Routing); Digital Channels (Chat/Email/Social); Interaction Analytics; Quality Management; Workforce Management (WFM),No,Yes,60.5,6009,-0.9,3.2,No,192,Unassigned,0,10,3,2.91,4,13.8,8.5,0,0,16,84,Active,0,,
CX-100066,Pinnacle Holdings,Technology / SaaS,APAC,India,SMB,183,2025-02-21,16,Monthly,57000,39,19,0.487,2,Performance Management; Workforce Management (WFM),No,No,4.8,5712,13.3,0.6,Yes,30,Kenji Watanabe,1,0,0,4.07,1,15.5,5.5,33,0,55,38,Active,0,,
CX-100067,Summit Digital,Travel,APAC,Japan,SMB,49,2026-02-21,4,Monthly,32000,30,26,0.867,2,Digital Channels (Chat/Email/Social); Interaction Analytics,No,Yes,53.2,15924,13.1,1.5,Yes,22,Marcus Reed,4,9,1,4.22,9,9.7,0,0,0,55,41,Churned,1,2026-04-20,M&A / consolidation
CX-100068,Falcon Resorts,Insurance,EMEA,United Kingdom,Mid-Market,1231,2023-12-23,30,Monthly,234700,264,262,0.992,1,Interaction Analytics,No,No,6.1,136472,2.0,2.0,Yes,66,Noa Cohen,2,13,0,4.27,1,32.5,25.4,0,-23500,70,29,Active,0,,
CX-100069,Onyx Financial,Utilities,North America,Canada,SMB,106,2023-02-22,40,Annual,44200,44,23,0.523,2,Performance Management; Recording & Compliance,No,No,4.2,7727,-14.9,1.8,No,155,Tom Fischer,3,2,0,3.19,8,34.7,0,0,4400,45,58,Active,0,,
CX-100070,Falcon Group,Insurance,APAC,India,SMB,52,2022-04-24,50,Annual,41200,42,16,0.381,1,Performance Management,No,No,4.0,2934,-3.8,4.9,Yes,37,Tom Fischer,2,3,0,4.02,6,21.5,11.7,22,4100,71,29,Churned,1,2025-02-24,Low adoption / shelfware
CX-100071,Harbor Airlines,Insurance,EMEA,UAE,SMB,188,2025-03-23,15,Annual,42900,33,26,0.788,5,ACD (Omnichannel Routing); Feedback Management; IVR / Voice; Performance Management; Workforce Management (WFM),No,No,2.0,13109,4.0,2.4,Yes,67,Sofia Marin,4,14,2,3.4,9,32.0,23.0,14,0,48,54,Active,0,,
CX-100072,Delta Brands,Healthcare,EMEA,United Kingdom,SMB,191,2024-09-22,21,Annual,51200,55,32,0.582,1,Performance Management,No,No,1.5,8732,3.7,5.9,Yes,39,Noa Cohen,4,9,0,3.56,4,10.4,5.6,0,-5100,61,39,Active,0,,
CX-100073,Sable Labs,Travel,EMEA,Israel,SMB,70,2025-04-23,14,Monthly,56500,54,54,1.0,1,Workforce Management (WFM),No,No,7.8,32872,6.4,5.4,No,186,Dana Levi,2,29,0,3.37,7,28.0,0,7,11300,37,68,Active,0,,
CX-100074,Evergreen Services,Retail,EMEA,Israel,SMB,283,2026-01-21,5,Annual,11000,11,7,0.636,2,Feedback Management; Quality Management,No,No,0.1,3524,1.9,5.3,Yes,20,Diego Alvarez,2,7,0,4.54,0,10.3,0,0,0,71,26,Active,0,,
CX-100075,Falcon Insurance,Telecom,North America,United States,SMB,76,2025-07-23,11,Annual,84200,60,46,0.767,3,Digital Channels (Chat/Email/Social); Enlighten AI (Copilot / Autopilot); IVR / Voice,Yes,Yes,51.4,25995,6.2,3.5,No,189,Tom Fischer,4,33,0,4.99,1,14.1,12.9,11,-8400,35,60,Churned,1,2026-01-13,Poor support experience
CX-100076,Pioneer Digital,Technology / SaaS,North America,Canada,SMB,163,2022-08-24,46,Annual,10000,9,6,0.667,2,ACD (Omnichannel Routing); Interaction Analytics,No,No,7.0,3595,28.5,5.4,Yes,46,Kenji Watanabe,3,0,2,4.4,3,13.0,23.2,0,0,67,29,Active,0,,
CX-100077,Ironwood Insurance,Financial Services,North America,United States,Mid-Market,1203,2025-03-23,15,Annual,131700,125,100,0.8,5,Digital Channels (Chat/Email/Social); Enlighten AI (Copilot / Autopilot); Performance Management; Quality Management; Recording & Compliance,Yes,Yes,4.5,33002,18.4,6.4,Yes,32,Aisha Khan,1,11,2,3.63,7,16.8,8.4,32,13200,55,41,Active,0,,
